,Average Return,Volatility,Annual Volatility,Maximum Drawdown,Sharpe Ratio,Average Correlation
ADANIPORTS,0.0005256802216729012,0.03036997137637823,0.4821083495162808,-0.917396458755593,0.017309210310345415,0.255204006409615
ASIANPAINT,0.0008044570589420454,0.022355031683062042,0.3548751263061112,-0.9248048186299899,0.035985502966277,0.16832783626312797
AXISBANK,0.001177503256473164,0.03054144700839893,0.48483044078568716,-0.8501742160278745,0.038554272040527394,0.2937486307627479
BAJAJ-AUTO,0.0008271662472550742,0.021344534082661303,0.3388339741995839,-0.5991511318242343,0.03875307111655353,0.2605969871194501
BAJAJFINSV,0.001282335447779136,0.025256819460573263,0.4009395792068003,-0.867894315452362,0.05077184994654233,0.2496142067218784
BAJFINANCE,0.0015472298608210314,0.03065349715212238,0.4866091816736549,-0.9328201662380522,0.05047482357861751,0.20589508079371763
BHARTIARTL,0.0008502083869707913,0.025191281076789872,0.3998991896178805,-0.7847465908586151,0.03375010522010076,0.23743898690540896
BPCL,0.0004880776672416861,0.02949108581890506,0.4681564738205185,-0.7730521485926056,0.01655000667790968,0.21593530040854614
BRITANNIA,0.000597993797571084,0.02114622464085074,0.3356859094055832,-0.8536304097130051,0.02827898633100996,0.14944998587350086
CIPLA,0.00032450754038140925,0.0243825665272633,0.3870612441397589,-0.890735369390889,0.01330899846078804,0.2001017638174151
COALINDIA,-0.00018754110284260528,0.018788764877179412,0.2982623958424906,-0.7506765899864681,-0.009981555683332343,0.22780561555460194
DRREDDY,0.0005283211648322405,0.023246418985256357,0.3690254610467928,-0.8130794412374741,0.0227269914203697,0.1840952669189945
EICHERMOT,0.0013771425356264547,0.030262312933073295,0.48039932471115354,-0.9382370796620407,0.0455068500108395,0.20832199478404892
GAIL,0.0004823709054275465,0.02539265020438439,0.40309582541792727,-0.8723325974981605,0.01899647738794348,0.25899888400763915
GRASIM,0.000620010662195659,0.024919396814655506,0.39558316075988154,-0.9243109286619624,0.024880644856982277,0.26578826433346214
HCLTECH,0.00048082472969459926,0.03252199740957942,0.5162707037090039,-0.9681818987992835,0.014784600208871897,0.23048708949798258
HDFC,0.0008381460152846863,0.02609280117249823,0.41421037746890926,-0.8147414430136943,0.032121733873789325,0.2538015218757409
HDFCBANK,0.0007895477821635296,0.023969271604075162,0.38050039063047075,-0.8417647517343518,0.032939998978913226,0.25584372079478995
HEROMOTOCO,0.0005460879278250659,0.024453675364156442,0.38819006193038874,-0.9098984281466033,0.022331527661707137,0.21777328340072122
HINDALCO,0.00046053906591458704,0.029651690455313066,0.47070599338455577,-0.9746027434469645,0.015531629355454386,0.29325526604618624
HINDUNILVR,0.0004394659191027611,0.02253376066253325,0.3577123608966783,-0.9662077198567449,0.0195025555513891,0.20953749401132216
ICICIBANK,0.0009318022290488051,0.029978656982739365,0.47589642609622995,-0.897998996711443,0.031082187223573872,0.30203052060795427
INDUSINDBK,0.0012215889342959243,0.03194152830903119,0.5070560424061561,-0.8510664590593411,0.03824453615610279,0.2986336971562455
INFY,0.00011923645200126623,0.030042043332368974,0.4769026532020467,-0.9687676125273643,0.003968986086668553,0.19305667509473562
IOC,0.000189540846725924,0.026518387237308125,0.4209663468025589,-0.9099943392666207,0.00714752541433829,0.2203455845996797
ITC,0.0003220559174819495,0.02464646943589279,0.3912505729387603,-0.9404927581052522,0.013067020342188956,0.20113293329277057
JSWSTEEL,0.0009434799659862791,0.03295939564954678,0.5232141855101098,-0.9244584038012402,0.028625523842068772,0.30114290955540857
KOTAKBANK,0.0010300221527546809,0.03272460676993447,0.5194870275937638,-0.8894513059323749,0.03147546309711527,0.26149812698813696
LT,0.000550307030705604,0.025787309699706443,0.4093608506809618,-0.8752856857567621,0.02134022653444413,0.3048161973092007
M&M,0.0005207699750514645,0.027837061973802063,0.44189965928023844,-0.9207708779443255,0.018707792350412915,0.28119700411788595
MARUTI,0.0010651985104949222,0.021720748703611892,0.344806196159314,-0.6133966466361306,0.04904059823305229,0.3224237695093778
NESTLEIND,0.0007854946021877207,0.015261003053625247,0.2422609130237383,-0.324010582581934,0.05147070604911036,0.1722317437467507
NTPC,0.00025566527696253285,0.019019449471363418,0.301924400247519,-0.7316002107851748,0.01344230690522744,0.2997008788510461
ONGC,0.00029434814653220217,0.026256146301545717,0.4168034010049097,-0.9595741813771729,0.01121063781225479,0.25993495673504013
POWERGRID,0.00040858745523740265,0.018716715319720426,0.29711864457583814,-0.6412001237240953,0.02183008333769463,0.2959191900011057
RELIANCE,0.0007072633052105408,0.024033912331194857,0.3815265303616214,-0.7900864678578636,0.029427722605634508,0.2997396751488248
SBIN,0.0006137557648300293,0.02684130344106647,0.4260924826193047,-0.956775885041333,0.02286609389807052,0.29765587615025024
SHREECEM,0.001517046265102644,0.024546579038629637,0.38966486204162976,-0.7997340264764553,0.061802757228012345,0.24211401985284164
SUNPHARMA,0.0003992736933780833,0.02912308439381198,0.4623146323030366,-0.9070559610705595,0.01370986973697471,0.16728633115880506
TATAMOTORS,0.0006270709842445825,0.030745727671895914,0.4880732957853209,-0.95216642859759,0.020395386017088034,0.2948935517411205
TATASTEEL,0.0007530729557660719,0.027838744106983032,0.44192636231665205,-0.8495297805642632,0.02705125464252434,0.34357742375215405
TCS,0.0006038481582375971,0.023745249205113735,0.3769441452959106,-0.8205949992660372,0.025430272515630344,0.21601580883519497
TECHM,0.0006411378108677649,0.027986112773320197,0.4442657673696804,-0.8943356219709209,0.02290914126091053,0.2270776857896364
TITAN,0.001206412952640827,0.03149502483794667,0.49996801954205544,-0.9668688754083061,0.03830487382843034,0.23175461507822948
ULTRACEMCO,0.0009879224531207178,0.02095479834293633,0.3326471111335074,-0.7777968501909626,0.04714540493078701,0.2991033055201887
UPL,0.0005895748676554265,0.03005165466152666,0.4770552283223669,-0.9253084865273231,0.0196187156512957,0.22816062161476605
VEDL,0.0010914854701222474,0.035806526665683916,0.5684109892224147,-0.9858316836241425,0.030482863649779802,0.2541256958319369
WIPRO,0.00021774560797241775,0.030610387107387543,0.4859248309293914,-0.9830664045184069,0.007113454893873812,0.2272489138307421
ZEEL,0.00021612254895904062,0.033125042228838275,0.5258437434361128,-0.9595900629175586,0.006524445990619352,0.22809053856301584
