Feature,MI_Score,RF_Importance,XGB_Importance,MI_Rank,RF_Rank,XGB_Rank,Average_Rank
Market_Return_LOO,0.0028635757374873005,0.05806653814434033,0.033890102,4.0,1.0,1.0,2.0
Market_Breadth_LOO,0.006728566329254004,0.046684653064921054,0.029433304,1.0,2.0,5.0,2.6666666666666665
DayOfWeek,0.0037131851458382936,0.023276070404993326,0.030867092,2.0,9.0,3.0,4.666666666666667
Price_SMA_10_Ratio,0.0011499503797400834,0.024207100851560505,0.033627722,14.0,6.0,2.0,7.333333333333333
Return_Lag_1,0.0016590522605919311,0.027836226831565555,0.023990795,9.0,4.0,10.0,7.666666666666667
Relative_Sector_Return_LOO,0.0008064442808350947,0.024363280938397503,0.026058907,18.0,5.0,8.0,10.333333333333334
Momentum_5,0.0013927231204517998,0.022153187188920627,0.025388645,11.0,11.0,9.0,10.333333333333334
Sector_Return_LOO,5.570815909416993e-05,0.03461937791244972,0.026474372,31.0,3.0,7.0,13.666666666666666
ATR_14_Pct,0.0011009057432815883,0.01888920059905305,0.022341918,15.0,22.0,13.0,16.666666666666668
Price_SMA_5_Ratio,0.000626215638501959,0.02330984215960184,0.020238135,24.0,8.0,19.0,17.0
Relative_Volume,0.0007658302745257028,0.023185372145860424,0.01962517,19.0,10.0,23.0,17.333333333333332
Price_SMA_200_Ratio,0.0007090694818085996,0.020735747624881794,0.022058003,22.0,17.0,14.0,17.666666666666668
Relative_Market_Return_LOO,0.0023719338448677796,0.019653520727456377,0.018561766,5.0,20.0,29.0,18.0
Quarter,0.003344491115196524,0.006869901756518332,0.030059436,3.0,48.0,4.0,18.333333333333332
Return_Lag_3,0.0019148193811615588,0.01994174404878307,0.018252311,7.0,19.0,32.0,19.333333333333332
Return_Lag_10,0.001203595255423906,0.02111193326070032,0.018221932,13.0,16.0,33.0,20.666666666666668
Close_Position,0.0010941011984650917,0.02182094600075028,0.018270068,16.0,15.0,31.0,20.666666666666668
MACD_Histogram,0.0016487661893322958,0.018506962765520225,0.018663893,10.0,26.0,27.0,21.0
Return_Lag_2,3.063939333802779e-05,0.021936498184549673,0.020966038,33.0,14.0,16.0,21.0
MACD,0.0020910322024287886,0.017061334426357117,0.02023717,6.0,38.0,20.0,21.333333333333332
Month,0.0005290781762787855,0.018101934448895286,0.027133528,28.0,30.0,6.0,21.333333333333332
Mean_Return_5,0.0,0.021963589890574862,0.023295226,41.5,13.0,11.0,21.833333333333332
Return_Lag_5,0.0,0.02410027977955536,0.020953234,41.5,7.0,17.0,21.833333333333332
Mean_Return_20,0.0017575546621606541,0.01726015225162087,0.020021021,8.0,37.0,21.0,22.0
Distance_52W_High,0.0013805763000895865,0.018698333343601898,0.018058453,12.0,25.0,35.0,24.0
Mean_Return_10,0.000604506380818215,0.018791485029642317,0.01931047,26.0,24.0,24.0,24.666666666666668
Price_SMA_50_Ratio,0.0007656896473478003,0.016740530997337157,0.022402368,20.0,42.0,12.0,24.666666666666668
Momentum_10,0.0007588309303021568,0.01782494821393414,0.019144695,21.0,31.0,26.0,26.0
RSI_14,0.0004153878323562843,0.01850295282857697,0.019297432,29.0,27.0,25.0,27.0
Gap_Return,9.673955875477702e-06,0.022051638095654146,0.018042697,34.0,12.0,36.0,27.333333333333332
Log_Return,0.0006967134807502884,0.018399393664546074,0.018348778,23.0,29.0,30.0,27.333333333333332
Momentum_20,0.000605052915139348,0.01690495752103137,0.020369511,25.0,41.0,18.0,28.0
Price_SMA_20_Ratio,0.0,0.018411443104379338,0.02119169,41.5,28.0,15.0,28.166666666666668
Volume_Change,0.0,0.02042500991128481,0.017900104,41.5,18.0,37.0,32.166666666666664
Daily_Return,0.0008741962296139327,0.016927531275203328,0.017138746,17.0,40.0,40.0,32.333333333333336
Price_SMA_100_Ratio,0.0,0.01726791555177984,0.019821791,41.5,36.0,22.0,33.166666666666664
MACD_Signal,0.0,0.017542653435624434,0.018575687,41.5,32.0,28.0,33.833333333333336
Position_52W,0.0,0.018842526748382365,0.017530557,41.5,23.0,39.0,34.5
High_Low_Range,0.0,0.019128509990942018,0.015893698,41.5,21.0,44.0,35.5
BB_Position,0.0,0.017430948262508128,0.018154379,41.5,33.0,34.0,36.166666666666664
Intraday_Return,3.9859040884993036e-05,0.017270197012372084,0.016503625,32.0,35.0,43.0,36.666666666666664
Volatility_10,0.0005776904410914607,0.016208873521369595,0.015875934,27.0,43.0,45.0,38.333333333333336
Volatility_30,9.087160153553597e-05,0.01609612263809464,0.016614074,30.0,45.0,42.0,39.0
Volatility_5,0.0,0.017284255713275406,0.015749501,41.5,34.0,46.0,40.5
Return_Min_20,0.0,0.016196761553670738,0.017659629,41.5,44.0,38.0,41.166666666666664
Return_Skew_20,0.0,0.017000956794334447,0.015338496,41.5,39.0,48.0,42.833333333333336
Return_Max_20,0.0,0.014792824704104304,0.016936405,41.5,47.0,41.0,43.166666666666664
Volatility_20,0.0,0.01560383468052301,0.015511507,41.5,46.0,47.0,44.833333333333336
